produto_id;support_vector_regression
2132;1.0999999646929886
2133;1.0999955695837382
2205;1.0999958578339368
2247;1.0999914464235487
2338;1.1000192669209092
2404;1.1000021487128604
2566;1.099990179120243
2717;1.0999966176612304
2724;2.1001994198247447
2734;1.100020156391986
2921;1.1000027333130467
3105;1.8999274882049204
3316;1.9048552092219881
3383;1.0999851274569452
3644;1.1000022104770535
3656;5.129517256333139
3715;5.921123041060387
3721;1.1000125423746523
3753;27.100008400153406
3793;1.1000206873338159
4080;1.1010471770098813
4205;1.9004080548185724
4211;1.100007840390683
4216;2.9015220532103494
4217;1.1000067686613986
4431;1.100022747644754
4435;1.1001667431484918
4549;3.9052406628553635
4562;1.9002141478778851
4572;1.0998980140452532
4604;1.0999606121582701
4637;1.099995531916839
4907;1.099980126974546
5014;6.1282893351344345
5015;11.139138167537238
5016;6.913608697975726
5031;2.1000970920805884
5058;1.1002883676012851
5092;1.0998858367718345
5208;2.905493337422725
5460;1.099979083612548
5586;2.1011754803553746
6106;1.1000606668858692
6286;1.0999958590166101
6439;2.1036848950741174
6443;1.1000219395285158
6915;4.100022733642977
7678;1.1029347958299391
7842;1.10005755837462
9508;19.900503111976953
9734;2.911599305553031
14701;1.1000155410392778
16237;1.1016817268426218
16267;1.1000171626840292
18566;4.101102652770225
18581;2.9035859302939113
18604;2.0944781598553672
19531;1.0
19699;1.8995150820545463
85;1.100307887614746
3024;2.1026144766502295
3653;1.8994699348882782
4186;1.100032959765945
19613;1.1009064557052906
56;1.9005183486455193
2862;1.1000347009162343
3973;1.1000012117382345
4068;1.1000105565642921
4079;1.0999841456091648
4136;1.0999885096643798
4305;1.900092974339656
4559;1.0999939618804033
4909;1.100000613625757
5034;1.0999988748696452
5064;1.0999861957322161
5960;1.0998899183002413
7101;1.1001503853367471
4157;3.114957850756885
464;2.101380529404298
710;1.099944204803251
736;1.0999325970254028
848;1.0999899425787378
1227;2.100119276959001
1297;5.100338963565457
1338;1.1000067036407186
1519;1.0999821557595326
1788;2.100030759321543
1795;3.9060342915196617
1924;1.0999991589125617
1944;4.105278922371304
2241;1.0999768816156008
2339;1.8996502997714209
2345;1.1000255236098968
2346;1.1000155888911394
2360;1.0999653550984414
2396;4.101417000375572
2725;1.100178370189911
2794;4.112785177488544
2918;1.1000276776824283
3476;4.111228514581945
3712;1.0999631579175126
3792;1.099957179510652
4058;1.9025176879675791
4078;1.0999366154931967
4214;2.917173852763823
4455;1.0
4553;1.0999881788449857
4566;1.9000813402923082
4569;1.900021214087234
4688;1.1000100450791637
5007;1.0999797789128483
5070;1.0999105547930714
5132;1.8996054961994329
5329;1.1000443058155946
5402;2.100353768966454
5463;1.0999795149850056
5524;1.0999918339830375
5528;1.0999735138432576
5557;1.1003879557097092
5851;2.099752018151949
5931;1.0999701484766953
6020;1.0999973159115726
6233;1.1132888311773241
6279;1.1000212336823731
6281;1.900675465628456
6399;1.8998595543192351
6556;1.1000406158756375
6659;1.0999754539477906
6810;1.100021530973849
6924;3.1272171694055317
6951;2.9105807150366925
6964;3.110153746592238
6970;3.106205999943996
7009;1.1000386426131668
7050;1.1000121329634762
7103;1.9001660679949381
7362;1.0999901126148979
7372;1.1000302129473272
7430;3.104125570048479
7822;1.1000017189064726
7844;1.0999743103170754
7968;1.9010637360173765
8111;1.0999961924991961
8199;1.1017037439028998
8347;1.9001712063762424
8559;1.0999920678056183
8749;1.099985079938901
8873;1.0999877086968968
8978;1.1000029676727539
8991;1.0999957056614287
9075;1.1000226702686469
9200;1.4999857699659815
9287;1.0999986324322213
9584;1.101411066488192
9931;1.0999869976935779
9944;1.1000011633264408
10034;1.1000067780350458
10206;1.1033958789591432
10221;1.1000487273059796
10287;6.90237260895365
11960;2.0997306554408275
12177;5.099927778815286
12424;1.0999794331805914
15757;2.114907140229236
19141;1.900213722218203
19372;1.0999810089888564
19669;3.101714358162155
242;45.1347207734356
2259;1.0999978986281793
9833;1.1007623699733151
15915;1.0999917617969623
19617;1.0999760831598202
1505;1.9001140018695972
2304;1.1063679276729173
5212;1.1002492585632146
8790;1.1000211625385243
18564;2.099493366306257
4945;1.0999885137504521
20;1.1000331611208276
60;4.100005212387179
335;1.1000026572115613
341;1.1000111694713226
514;2.901404670804432
1085;1.0999279765950816
1518;1.1003043913047663
1826;1.09999956208039
1865;1.1000577863439993
2080;1.1000159146227602
2087;2.1012425723947525
2153;1.1000118719407366
2206;1.0999988352490313
2286;1.9006585694323248
2341;1.099994451592159
2354;1.8999924172149472
2421;1.0999994019254227
2423;1.100000220131263
2474;1.0999952740427363
2518;1.099961578981583
2528;1.099910901467449
2580;1.1000152744081635
2719;2.90390860978272
2727;1.1042652223103686
2870;2.100273223889155
2935;1.0999625711430836
2941;1.0999980723105107
3382;1.8998140771814458
3402;1.1000149384060398
3459;1.0999951257622445
3553;1.900806339989967
3560;1.099997406559682
3626;1.1000787701670292
3628;1.100015596638242
3700;4.101823208080463
3756;26.929897623098118
3757;5.098100422074067
4081;1.0999831580803685
4126;4.100019717558534
4171;1.9002833816404312
4189;1.1000011029455365
4243;1.0999944029976816
4313;1.1000219322168139
4542;1.1000183000088648
4573;1.1000026732953914
4576;1.8999945434231402
4586;1.0999988566793752
4710;1.0999912735456574
4728;1.0998940618587585
4740;3.9148538788357987
4744;8.999488444427255
4805;1.0999677888867225
4873;1.1000104313425212
5052;1.8999956081945877
5124;1.1000236252329205
5639;1.0999934289486757
5714;1.100023952382835
5736;1.0999253287682924
5831;1.100003588904289
5986;1.099999065608324
6032;1.100012890827502
6153;1.0999936567813904
6183;1.0999448478122233
6280;1.1000820318664337
6383;1.1000138354727391
6871;1.1000107173937477
6923;8.904974297804856
7267;1.1000457212445454
7287;1.0999744354695928
7315;1.1000018312228068
7342;1.0999862269246838
8039;1.0999813515807444
8155;1.1000099696897578
8262;1.0999842082360853
8348;1.4999749316146018
8741;1.0999896371666256
8879;1.1000048666035052
8900;1.100067682713989
9073;1.0999955502336105
